depth,l1,l2,Mode,Frequency,Max_Deflection,Average_Deflection
0.0,0,0,1.0,52.976000000000006,18.084,9.0351
0.0,0,0,2.0,145.92,17.293,9.3771
0.0,0,0,3.0,285.99,17.43,9.5803
0.0,0,0,4.0,323.4,28.366,10.872
0.0,0,0,5.0,472.81,17.537,9.719
0.0,0,0,6.0,489.85,17.734,9.2553
0.5,60,110,1.0,52.618,18.051,7.3559
0.5,60,110,2.0,144.89,17.276,8.1888
0.5,60,110,3.0,283.94,17.488,9.0011
0.5,60,110,4.0,322.78,28.34,9.2718
0.5,60,110,5.0,469.3,17.680999999999997,9.7715
0.5,60,110,6.0,489.23,17.727,7.67
0.5,40,260,1.0,52.708999999999996,18.06,8.4753
0.5,40,260,2.0,145.17,17.285999999999998,9.2486
0.5,40,260,3.0,284.5,17.499000000000002,9.4812
0.5,40,260,4.0,322.86,28.342,10.355
0.5,40,260,5.0,470.23,17.691,9.2448
0.5,40,260,6.0,489.26,17.727999999999998,8.7298
0.5,80,440,1.0,52.68899999999999,18.05,8.7091
0.5,80,440,2.0,144.99,17.295,8.5732
0.5,80,440,3.0,284.09,17.542,9.3828
0.5,80,440,4.0,322.73,28.335,10.505999999999998
0.5,80,440,5.0,469.01,17.699,9.8724
0.5,80,440,6.0,489.25,17.727999999999998,8.949
0.5,40,520,1.0,52.653,18.053,9.1586
0.5,40,520,2.0,144.92,17.299,8.1374
0.5,40,520,3.0,283.7,17.531,9.4969
0.5,40,520,4.0,322.75,28.331,10.808
0.5,40,520,5.0,468.69,17.71,8.7951
0.5,40,520,6.0,489.24,17.727999999999998,9.3492
0.5,30,630,1.0,52.648,18.053,8.9465
0.5,30,630,2.0,145.2,17.281,9.2527
0.5,30,630,3.0,284.02,17.525,8.329
0.5,30,630,4.0,322.74,28.335,10.661
0.5,30,630,5.0,469.35,17.702,9.5986
0.5,30,630,6.0,489.23,17.726,9.1513
0.5,80,770,1.0,52.718,18.062,9.7073
0.5,80,770,2.0,145.28,17.292,10.017000000000001
0.5,80,770,3.0,284.24,17.485,9.9166
0.5,80,770,4.0,322.83,28.345,11.582
0.5,80,770,5.0,470.27,17.706,10.681
0.5,80,770,6.0,489.3,17.73,9.905
0.5,90,910,1.0,52.674,18.058,7.7608
0.5,90,910,2.0,144.92,17.3,8.513
0.5,90,910,3.0,283.75,17.496,9.2927
0.5,90,910,4.0,322.76,28.339000000000002,9.7144
0.5,90,910,5.0,468.61,17.698,10.001
0.5,90,910,6.0,489.26,17.727999999999998,8.0672
0.5,110,960,1.0,52.637,18.052,7.9268
0.5,110,960,2.0,144.76,17.284000000000002,8.616
0.5,110,960,3.0,283.34,17.496,9.2195
0.5,110,960,4.0,322.55,28.331999999999997,9.8135
0.5,110,960,5.0,467.71,17.679000000000002,9.7689
0.5,110,960,6.0,489.22,17.727,8.2049
0.5,200,300,1.0,52.691,18.059,9.2092
0.5,200,300,2.0,145.22,17.289,10.628
0.5,200,300,3.0,284.54,17.483,10.607000000000001
0.5,200,300,4.0,322.85,28.344,11.251
0.5,200,300,5.0,470.13,17.687,10.039
0.5,200,300,6.0,489.31,17.727999999999998,9.4537
0.5,210,430,1.0,52.678999999999995,18.058,9.5272
0.5,210,430,2.0,145.2,17.319000000000003,10.113
0.5,210,430,3.0,284.3,17.472,10.757
0.5,210,430,4.0,322.81,28.338,11.48
0.5,210,430,5.0,469.26,17.711,10.65
0.5,210,430,6.0,489.28,17.729,9.7452
0.5,150,520,1.0,52.71,18.051,9.4473
0.5,150,520,2.0,145.07,17.312,8.9738
0.5,150,520,3.0,284.42,17.515,10.94
0.5,150,520,4.0,322.84,28.337,11.347000000000001
0.5,150,520,5.0,469.72,17.703,10.373
0.5,150,520,6.0,489.3,17.729,9.6677
0.5,230,670,1.0,52.67100000000001,18.061,9.2879
0.5,230,670,2.0,145.54,17.308,11.136
0.5,230,670,3.0,284.95,17.53,10.94
0.5,230,670,4.0,322.84,28.34,11.402000000000001
0.5,230,670,5.0,469.59,17.732,10.046
0.5,230,670,6.0,489.29,17.727999999999998,9.5386
0.5,230,750,1.0,52.668,18.059,9.2203
0.5,230,750,2.0,145.16,17.291,11.009
0.5,230,750,3.0,284.19,17.506,11.19
0.5,230,750,4.0,322.81,28.342,11.315999999999999
0.5,230,750,5.0,469.3,17.689,9.5758
0.5,230,750,6.0,489.3,17.727999999999998,9.4719
0.5,170,830,1.0,52.608000000000004,18.052,8.3272
0.5,170,830,2.0,144.83,17.295,9.8436
0.5,170,830,3.0,283.69,17.458,11.002
0.5,170,830,4.0,322.74,28.336,10.481
0.5,170,830,5.0,468.27,17.689,11.357000000000001
0.5,170,830,6.0,489.26,17.727999999999998,8.626
0.5,170,990,1.0,52.576,18.046,7.9273
0.5,170,990,2.0,144.71,17.278,9.1247
0.5,170,990,3.0,283.47,17.483,10.003
0.5,170,990,4.0,322.49,28.326999999999998,9.8877
0.5,170,990,5.0,468.39,17.67,10.354000000000001
0.5,170,990,6.0,489.17,17.727999999999998,8.2006
0.5,270,370,1.0,52.693999999999996,18.059,9.9838
0.5,270,370,2.0,145.25,17.289,10.991
0.5,270,370,3.0,284.24,17.504,9.6195
0.5,270,370,4.0,322.83,28.348000000000003,11.886
0.5,270,370,5.0,469.41,17.704,9.3778
0.5,270,370,6.0,489.29,17.727999999999998,10.177
0.5,300,550,1.0,52.714,18.058,10.238999999999999
0.5,300,550,2.0,145.22,17.288,10.144
0.5,300,550,3.0,284.44,17.51,10.06
0.5,300,550,4.0,322.87,28.344,12.039000000000001
0.5,300,550,5.0,470.12,17.714000000000002,9.4083
0.5,300,550,6.0,489.31,17.729,10.404000000000002
0.5,280,620,1.0,52.673,18.059,9.8585
0.5,280,620,2.0,145.21,17.301,10.785
0.5,280,620,3.0,284.27,17.498,9.6905
0.5,280,620,4.0,322.83,28.339000000000002,11.767999999999999
0.5,280,620,5.0,469.52,17.733,9.2532
0.5,280,620,6.0,489.29,17.727999999999998,10.052999999999999
0.5,300,740,1.0,52.678000000000004,18.054000000000002,9.5487
0.5,300,740,2.0,145.01,17.291,10.876
0.5,300,740,3.0,284.18,17.494,10.107999999999999
0.5,300,740,4.0,322.88,28.342,11.534
0.5,300,740,5.0,469.99,17.702,9.0802
0.5,300,740,6.0,489.29,17.727999999999998,9.7653
0.5,340,830,1.0,52.658,18.055,9.5405
0.5,340,830,2.0,145.03,17.292,10.843
0.5,340,830,3.0,283.97,17.467,9.3374
0.5,340,830,4.0,322.79,28.340999999999998,11.538
0.5,340,830,5.0,469.08,17.717,11.363
0.5,340,830,6.0,489.28,17.727999999999998,9.7684
0.5,280,990,1.0,52.596000000000004,18.055,8.9378
0.5,280,990,2.0,144.95,17.287,9.9546
0.5,280,990,3.0,283.24,17.482,9.4794
0.5,280,990,4.0,322.45,28.334,10.77
0.5,280,990,5.0,468.3,17.688,8.3304
0.5,280,990,6.0,489.24,17.727,9.1491
0.5,490,470,,,,
0.5,500,630,1.0,52.699,18.057000000000002,10.886
0.5,500,630,2.0,145.3,17.285999999999998,9.279
0.5,500,630,3.0,284.49,17.547,9.5478
0.5,500,630,4.0,322.87,28.34,12.549000000000001
0.5,500,630,5.0,469.42,17.722,9.5935
0.5,500,630,6.0,489.29,17.73,11.004000000000001
0.5,470,740,1.0,52.72,18.051,10.195
0.5,470,740,2.0,145.17,17.285999999999998,9.7058
0.5,470,740,3.0,284.17,17.514,10.745999999999999
0.5,470,740,4.0,322.88,28.344,12.020999999999999
0.5,470,740,5.0,469.81,17.768,9.2625
0.5,470,740,6.0,489.28,17.729,10.364
0.5,420,900,1.0,52.68,18.054000000000002,8.9615
0.5,420,900,2.0,144.98,17.295,9.0173
0.5,420,900,3.0,283.96,17.517,9.6692
0.5,420,900,4.0,322.78,28.335,10.835999999999999
0.5,420,900,5.0,468.77,17.694000000000003,10.652000000000001
0.5,420,900,6.0,489.28,17.729,9.2021
0.5,420,950,1.0,52.732,18.057000000000002,9.0832
0.5,420,950,2.0,145.04,17.296,8.8076
0.5,420,950,3.0,283.93,17.526,9.116
0.5,420,950,4.0,322.84,28.337,10.805
0.5,420,950,5.0,468.6,17.721,9.8079
0.5,420,950,6.0,489.27,17.729,9.292
0.5,530,630,1.0,52.7,18.057000000000002,11.119000000000002
0.5,530,630,2.0,145.32,17.303,9.3945
0.5,530,630,3.0,284.35,17.555999999999997,9.6577
0.5,530,630,4.0,322.85,28.342,12.75
0.5,530,630,5.0,469.23,17.69,10.011000000000001
0.5,530,630,6.0,489.29,17.729,11.224
0.5,580,760,1.0,52.678999999999995,18.057000000000002,10.123
0.5,580,760,2.0,145.02,17.287,9.9061
0.5,580,760,3.0,284.14,17.484,10.129
0.5,580,760,4.0,322.85,28.351,11.921
0.5,580,760,5.0,469.11,17.679000000000002,10.357999999999999
0.5,580,760,6.0,489.29,17.729,10.292
0.5,590,910,1.0,52.688,18.054000000000002,9.5513
0.5,590,910,2.0,145.02,17.294,9.3477
0.5,590,910,3.0,284.17,17.506,9.4265
0.5,590,910,4.0,322.87,28.343000000000004,11.35
0.5,590,910,5.0,469.7,17.734,10.667
0.5,590,910,6.0,489.28,17.727999999999998,9.7502
0.5,570,960,1.0,52.748000000000005,18.059,9.0657
0.5,570,960,2.0,145.16,17.294,8.4074
0.5,570,960,3.0,284.33,17.505,8.9604
0.5,570,960,4.0,322.85,28.339000000000002,10.685
0.5,570,960,5.0,469.73,17.713,9.5109
0.5,570,960,6.0,489.23,17.727999999999998,9.2608
0.5,700,800,1.0,52.691,18.059,9.3545
0.5,700,800,2.0,145.22,17.289,10.724
0.5,700,800,3.0,284.53,17.497,10.415999999999999
0.5,700,800,4.0,322.85,28.344,11.368
0.5,700,800,5.0,470.05,17.686,9.6803
0.5,700,800,6.0,489.31,17.727999999999998,9.5886
0.5,760,930,1.0,52.618,18.053,7.9354
0.5,760,930,2.0,144.86,17.302,8.8758
0.5,760,930,3.0,283.75,17.477,9.4739
0.5,760,930,4.0,322.61,28.329,9.8772
0.5,760,930,5.0,468.94,17.698,9.6146
0.5,760,930,6.0,489.24,17.727999999999998,8.2236
0.5,740,960,1.0,52.718,18.06,8.2977
0.5,740,960,2.0,145.18,17.282,9.4067
0.5,740,960,3.0,284.32,17.491,9.4495
0.5,740,960,4.0,322.82,28.343000000000004,10.165
0.5,740,960,5.0,469.54,17.688,8.488
0.5,740,960,6.0,489.25,17.727,8.5575
0.5,800,900,1.0,52.711999999999996,18.059,8.3551
0.5,800,900,2.0,145.15,17.283,9.6208
0.5,800,900,3.0,284.5,17.491,10.469000000000001
0.5,800,900,4.0,322.83,28.342,10.422
0.5,800,900,5.0,470.2,17.685,10.675
0.5,800,900,6.0,489.3,17.727999999999998,8.6466
0.5,880,990,1.0,52.644,18.048,7.8085
0.5,880,990,2.0,144.81,17.283,8.5719
0.5,880,990,3.0,283.66,17.477,9.2385
0.5,880,990,4.0,322.56,28.329,9.6789
0.5,880,990,5.0,468.88,17.647000000000002,9.8079
0.5,880,990,6.0,489.24,17.727999999999998,8.0755
1.0,60,170,1.0,52.586999999999996,18.051,7.6279
1.0,60,170,2.0,144.83,17.285999999999998,8.5385
1.0,60,170,3.0,283.69,17.485,9.2892
1.0,60,170,4.0,322.61,28.334,9.5421
1.0,60,170,5.0,468.51,17.673,9.8068
1.0,60,170,6.0,489.16,17.727,7.9255
1.0,90,290,1.0,52.705,18.051,8.8921
1.0,90,290,2.0,144.98,17.323,9.5019
1.0,90,290,3.0,283.94,17.518,9.6946
1.0,90,290,4.0,322.7,28.335,10.802
1.0,90,290,5.0,469.77,17.727999999999998,9.7362
1.0,90,290,6.0,489.25,17.729,9.1319
1.0,20,410,1.0,52.523,18.045,8.7379
1.0,20,410,2.0,144.58,17.271,8.6515
1.0,20,410,3.0,283.13,17.515,8.6113
1.0,20,410,4.0,322.49,28.334,10.355
1.0,20,410,5.0,467.53,17.687,9.3047
1.0,20,410,6.0,489.03,17.73,8.9233
1.0,50,550,1.0,52.75899999999999,18.057000000000002,9.3148
1.0,50,550,2.0,145.2,17.285,8.3921
1.0,50,550,3.0,284.65,17.499000000000002,9.5193
1.0,50,550,4.0,322.86,28.343000000000004,10.967
1.0,50,550,5.0,470.12,17.7,9.363999999999999
1.0,50,550,6.0,489.24,17.73,9.5059
1.0,110,600,1.0,52.626000000000005,18.054000000000002,9.1228
1.0,110,600,2.0,144.96,17.279,9.2876
1.0,110,600,3.0,284.01,17.495,9.4201
1.0,110,600,4.0,322.59,28.334,10.965
1.0,110,600,5.0,469.35,17.689,10.619000000000002
1.0,110,600,6.0,489.2,17.729,9.3463
1.0,90,760,1.0,52.658,18.057000000000002,8.6611
1.0,90,760,2.0,145.07,17.287,9.5695
1.0,90,760,3.0,284.08,17.508,9.9664
1.0,90,760,4.0,322.73,28.338,10.63
1.0,90,760,5.0,469.29,17.7,9.8519
1.0,90,760,6.0,489.25,17.729,8.9214
1.0,20,830,1.0,52.523999999999994,18.043,7.8229999999999995
1.0,20,830,2.0,144.58,17.293,8.5393
1.0,20,830,3.0,283.06,17.482,9.0624
1.0,20,830,4.0,322.33,28.316999999999997,9.6161
