Index,Mode,Frequency,Max_Deflection,Average_Deflection
0.0,1.0,52.976,18.084,9.0351
0.0,2.0,145.92,17.293,9.3771
0.0,3.0,285.99,17.43,9.5803
0.0,4.0,323.4,28.366,10.872
0.0,5.0,472.81,17.537,9.719
0.0,6.0,489.85,17.734,9.2553
1.0,1.0,52.618,18.051,7.3559
1.0,2.0,144.89,17.276,8.1888
1.0,3.0,283.94,17.488,9.0011
1.0,4.0,322.78,28.34,9.2718
1.0,5.0,469.3,17.681,9.7715
1.0,6.0,489.23,17.727,7.67
2.0,1.0,52.709,18.06,8.4753
2.0,2.0,145.17,17.286,9.2486
2.0,3.0,284.5,17.499,9.4812
2.0,4.0,322.86,28.342,10.355
2.0,5.0,470.23,17.691,9.2448
2.0,6.0,489.26,17.728,8.7298
3.0,1.0,52.689,18.05,8.7091
3.0,2.0,144.99,17.295,8.5732
3.0,3.0,284.09,17.542,9.3828
3.0,4.0,322.73,28.335,10.506
3.0,5.0,469.01,17.699,9.8724
3.0,6.0,489.25,17.728,8.949
4.0,1.0,52.653,18.053,9.1586
4.0,2.0,144.92,17.299,8.1374
4.0,3.0,283.7,17.531,9.4969
4.0,4.0,322.75,28.331,10.808
4.0,5.0,468.69,17.71,8.7951
4.0,6.0,489.24,17.728,9.3492
5.0,1.0,52.648,18.053,8.9465
5.0,2.0,145.2,17.281,9.2527
5.0,3.0,284.02,17.525,8.329
5.0,4.0,322.74,28.335,10.661
5.0,5.0,469.35,17.702,9.5986
5.0,6.0,489.23,17.726,9.1513
6.0,1.0,52.718,18.062,9.7073
6.0,2.0,145.28,17.292,10.017
6.0,3.0,284.24,17.485,9.9166
6.0,4.0,322.83,28.345,11.582
6.0,5.0,470.27,17.706,10.681
6.0,6.0,489.3,17.73,9.905
7.0,1.0,52.674,18.058,7.7608
7.0,2.0,144.92,17.3,8.513
7.0,3.0,283.75,17.496,9.2927
7.0,4.0,322.76,28.339,9.7144
7.0,5.0,468.61,17.698,10.001
7.0,6.0,489.26,17.728,8.0672
8.0,1.0,52.637,18.052,7.9268
8.0,2.0,144.76,17.284,8.616
8.0,3.0,283.34,17.496,9.2195
8.0,4.0,322.55,28.332,9.8135
8.0,5.0,467.71,17.679,9.7689
8.0,6.0,489.22,17.727,8.2049
9.0,1.0,52.691,18.059,9.2092
9.0,2.0,145.22,17.289,10.628
9.0,3.0,284.54,17.483,10.607
9.0,4.0,322.85,28.344,11.251
9.0,5.0,470.13,17.687,10.039
9.0,6.0,489.31,17.728,9.4537
10.0,1.0,52.679,18.058,9.5272
10.0,2.0,145.2,17.319,10.113
10.0,3.0,284.3,17.472,10.757
10.0,4.0,322.81,28.338,11.48
10.0,5.0,469.26,17.711,10.65
10.0,6.0,489.28,17.729,9.7452
11.0,1.0,52.71,18.051,9.4473
11.0,2.0,145.07,17.312,8.9738
11.0,3.0,284.42,17.515,10.94
11.0,4.0,322.84,28.337,11.347
11.0,5.0,469.72,17.703,10.373
11.0,6.0,489.3,17.729,9.6677
12.0,1.0,52.671,18.061,9.2879
12.0,2.0,145.54,17.308,11.136
12.0,3.0,284.95,17.53,10.94
12.0,4.0,322.84,28.34,11.402
12.0,5.0,469.59,17.732,10.046
12.0,6.0,489.29,17.728,9.5386
13.0,1.0,52.668,18.059,9.2203
13.0,2.0,145.16,17.291,11.009
13.0,3.0,284.19,17.506,11.19
13.0,4.0,322.81,28.342,11.316
13.0,5.0,469.3,17.689,9.5758
13.0,6.0,489.3,17.728,9.4719
14.0,1.0,52.608,18.052,8.3272
14.0,2.0,144.83,17.295,9.8436
14.0,3.0,283.69,17.458,11.002
14.0,4.0,322.74,28.336,10.481
14.0,5.0,468.27,17.689,11.357
14.0,6.0,489.26,17.728,8.626
15.0,1.0,52.576,18.046,7.9273
15.0,2.0,144.71,17.278,9.1247
15.0,3.0,283.47,17.483,10.003
15.0,4.0,322.49,28.327,9.8877
15.0,5.0,468.39,17.67,10.354
15.0,6.0,489.17,17.728,8.2006
16.0,1.0,52.694,18.059,9.9838
16.0,2.0,145.25,17.289,10.991
16.0,3.0,284.24,17.504,9.6195
16.0,4.0,322.83,28.348,11.886
16.0,5.0,469.41,17.704,9.3778
16.0,6.0,489.29,17.728,10.177
17.0,1.0,52.714,18.058,10.239
17.0,2.0,145.22,17.288,10.144
17.0,3.0,284.44,17.51,10.06
17.0,4.0,322.87,28.344,12.039
17.0,5.0,470.12,17.714,9.4083
17.0,6.0,489.31,17.729,10.404
18.0,1.0,52.673,18.059,9.8585
18.0,2.0,145.21,17.301,10.785
18.0,3.0,284.27,17.498,9.6905
18.0,4.0,322.83,28.339,11.768
18.0,5.0,469.52,17.733,9.2532
18.0,6.0,489.29,17.728,10.053
19.0,1.0,52.678,18.054,9.5487
19.0,2.0,145.01,17.291,10.876
19.0,3.0,284.18,17.494,10.108
19.0,4.0,322.88,28.342,11.534
19.0,5.0,469.99,17.702,9.0802
19.0,6.0,489.29,17.728,9.7653
20.0,1.0,52.658,18.055,9.5405
20.0,2.0,145.03,17.292,10.843
20.0,3.0,283.97,17.467,9.3374
20.0,4.0,322.79,28.341,11.538
20.0,5.0,469.08,17.717,11.363
20.0,6.0,489.28,17.728,9.7684
21.0,1.0,52.596,18.055,8.9378
21.0,2.0,144.95,17.287,9.9546
21.0,3.0,283.24,17.482,9.4794
21.0,4.0,322.45,28.334,10.77
21.0,5.0,468.3,17.688,8.3304
21.0,6.0,489.24,17.727,9.1491
23.0,1.0,52.699,18.057,10.886
23.0,2.0,145.3,17.286,9.279
23.0,3.0,284.49,17.547,9.5478
23.0,4.0,322.87,28.34,12.549
23.0,5.0,469.42,17.722,9.5935
23.0,6.0,489.29,17.73,11.004
24.0,1.0,52.72,18.051,10.195
24.0,2.0,145.17,17.286,9.7058
24.0,3.0,284.17,17.514,10.746
24.0,4.0,322.88,28.344,12.021
24.0,5.0,469.81,17.768,9.2625
24.0,6.0,489.28,17.729,10.364
25.0,1.0,52.68,18.054,8.9615
25.0,2.0,144.98,17.295,9.0173
25.0,3.0,283.96,17.517,9.6692
25.0,4.0,322.78,28.335,10.836
25.0,5.0,468.77,17.694,10.652
25.0,6.0,489.28,17.729,9.2021
26.0,1.0,52.732,18.057,9.0832
26.0,2.0,145.04,17.296,8.8076
26.0,3.0,283.93,17.526,9.116
26.0,4.0,322.84,28.337,10.805
26.0,5.0,468.6,17.721,9.8079
26.0,6.0,489.27,17.729,9.292
27.0,1.0,52.7,18.057,11.119
27.0,2.0,145.32,17.303,9.3945
27.0,3.0,284.35,17.556,9.6577
27.0,4.0,322.85,28.342,12.75
27.0,5.0,469.23,17.69,10.011
27.0,6.0,489.29,17.729,11.224
28.0,1.0,52.679,18.057,10.123
28.0,2.0,145.02,17.287,9.9061
28.0,3.0,284.14,17.484,10.129
28.0,4.0,322.85,28.351,11.921
28.0,5.0,469.11,17.679,10.358
28.0,6.0,489.29,17.729,10.292
29.0,1.0,52.688,18.054,9.5513
29.0,2.0,145.02,17.294,9.3477
29.0,3.0,284.17,17.506,9.4265
29.0,4.0,322.87,28.343,11.35
29.0,5.0,469.7,17.734,10.667
29.0,6.0,489.28,17.728,9.7502
30.0,1.0,52.748,18.059,9.0657
30.0,2.0,145.16,17.294,8.4074
30.0,3.0,284.33,17.505,8.9604
30.0,4.0,322.85,28.339,10.685
30.0,5.0,469.73,17.713,9.5109
30.0,6.0,489.23,17.728,9.2608
31.0,1.0,52.691,18.059,9.3545
31.0,2.0,145.22,17.289,10.724
31.0,3.0,284.53,17.497,10.416
31.0,4.0,322.85,28.344,11.368
31.0,5.0,470.05,17.686,9.6803
31.0,6.0,489.31,17.728,9.5886
32.0,1.0,52.618,18.053,7.9354
32.0,2.0,144.86,17.302,8.8758
32.0,3.0,283.75,17.477,9.4739
